ID_ES_Unique,corr,v_r,se_r,fisher_z,v_z,se_z,ess,power
1,-0.06,0.001294,0.035972,-0.060072,0.001307,0.036152,768,0.383170134
2,-0.03,0.001301,0.036069,-0.030009,0.001307,0.036152,768,0.131953489
3,-0.07,0.001291,0.03593,-0.070115,0.001307,0.036152,768,0.492227328
4,0.094704,0.000505,0.022472,0.094989,0.000517,0.022738,1937,0.986735617
5,0.16,0.002277,0.047718,0.161387,0.00241,0.049092,418,0.908457045
6,0.08,0.002367,0.048652,0.080171,0.00241,0.049092,418,0.372705501
7,0.22,0.002209,0.047,0.223656,0.002451,0.049508,411,0.994807711
8,0.01,0.003378,0.058121,0.01,0.003401,0.058318,297,0.053330124
9,0.03,0.003372,0.058069,0.030009,0.003401,0.058318,297,0.080873739
10,-0.05,0.003362,0.057983,-0.050042,0.003401,0.058318,297,0.137863125
11,0.12,0.003282,0.057289,0.120581,0.003401,0.058318,297,0.544054587
12,0.01,0.003378,0.058121,0.01,0.003401,0.058318,297,0.053330124
13,-0.03,0.003372,0.058069,-0.030009,0.003401,0.058318,297,0.080873739
14,0.15,0.003228,0.056815,0.15114,0.003401,0.058318,297,0.737431064
15,0.05,0.003362,0.057983,0.050042,0.003401,0.058318,297,0.137863125
16,0.13,0.003265,0.05714,0.13074,0.003401,0.058318,297,0.612214338
17,0.02,0.003376,0.058103,0.020003,0.003401,0.058318,297,0.063564859
18,0.05,0.003362,0.057983,0.050042,0.003401,0.058318,297,0.137863125
19,-0.17,0.003186,0.056445,-0.171667,0.003401,0.058318,297,0.838416376
20,-0.04,0.003368,0.058034,-0.040021,0.003401,0.058318,297,0.105552034
21,0.07,0.003345,0.057836,0.070115,0.003401,0.058318,297,0.225546341
22,0.03,0.003372,0.058069,0.030009,0.003401,0.058318,297,0.080873739
23,0.233219,0.013649,0.116829,0.237591,0.016393,0.128035,64,0.46342006
24,0.073468,0.01645,0.128258,0.073601,0.017544,0.132454,60,0.086305059
25,0.196287,0.014668,0.121112,0.198868,0.016949,0.130188,62,0.336649198
26,-0.142224,0.015352,0.123903,-0.143194,0.016949,0.130188,62,0.197814656
27,0.210228,0.011947,0.109302,0.213409,0.013889,0.117852,75,0.444849495
28,0.194771,0.013007,0.114048,0.197292,0.014925,0.122168,70,0.368809381
29,0.43,0.000596,0.024413,0.459897,0.000898,0.029967,1116,1
30,0.12,0.000871,0.029513,0.120581,0.000898,0.029967,1116,0.980514399
31,0.0293,0.00087,0.029496,0.029308,0.000873,0.029547,1148,0.168119853
32,-0.0108,0.000768,0.027713,-0.0108,0.000769,0.027731,1303,0.067544763
33,0.0243,0.000627,0.02504,0.024305,0.000629,0.02508,1593,0.162638632
34,-0.0673,0.00398,0.063087,-0.067402,0.004049,0.063632,250,0.185559639
35,0.198086,0.009446,0.097191,0.20074,0.010753,0.103697,96,0.493876511
36,-0.042294,0.010371,0.101838,-0.04232,0.010753,0.103697,96,0.069290501
37,0.243574,0.008971,0.094715,0.24857,0.010753,0.103697,96,0.672966358
38,0.04561,0.010364,0.101804,0.045642,0.010753,0.103697,96,0.072503486
39,0.19,0.009481,0.09737,0.192337,0.010417,0.102064,99,0.473216799
40,0.14,0.009808,0.099035,0.140926,0.010417,0.102064,99,0.283538347
41,-0.08,0.010074,0.100369,-0.080171,0.010417,0.102064,99,0.123605374
42,0.04,0.010171,0.100851,0.040021,0.010417,0.102064,99,0.067782061
43,0.03,0.010186,0.100926,0.030009,0.010417,0.102064,99,0.059883384
44,-0.02,0.010196,0.100975,-0.020003,0.010417,0.102064,99,0.054287292
45,0.058843,0.000559,0.023643,0.058911,0.000564,0.023749,1776,0.69889939
46,-0.000393,0.001074,0.032772,-0.000393,0.001076,0.032802,932,0.049999229
47,0.228004,0.000755,0.027477,0.232082,0.000842,0.029017,1191,0.999999999
48,0.25034,0.001358,0.036851,0.255775,0.00155,0.03937,648,0.999997196
49,0.055231,0.003026,0.055009,0.055287,0.003077,0.055471,328,0.169531199
50,0.062159,0.003095,0.055633,0.062239,0.003155,0.056169,320,0.19858746
51,0.047971,0.003097,0.055651,0.048008,0.003145,0.05608,321,0.137441478
52,0.073544,0.003152,0.056143,0.073677,0.003226,0.056798,313,0.254828848
53,0.024654,0.003063,0.055344,0.024659,0.003096,0.055642,326,0.072796138
54,0.028889,0.003178,0.056374,0.028897,0.003215,0.056701,314,0.080271967
55,0.062791,0.003154,0.05616,0.062874,0.003215,0.056701,314,0.198773416
56,0.04513,0.003061,0.055326,0.04516,0.003106,0.055731,325,0.128113656
57,-0.05426,0.003036,0.0551,-0.054313,0.003086,0.055552,327,0.16487952
58,-0.03724,0.003134,0.055982,-0.037257,0.003175,0.056347,318,0.10148802
59,0.049544,0.003116,0.055821,0.049584,0.003165,0.056258,319,0.14284501
60,0.084853,0.002995,0.054727,0.085057,0.003077,0.055471,328,0.335783198
61,0.116847,0.000626,0.02502,0.117383,0.000185,0.013601,5399,1
62,-0.208551,0.000213,0.014595,-0.211656,0.000185,0.013601,5399,1
63,-0.2083,0.000286,0.016912,-0.211394,0.000185,0.013601,5399,1
64,0.046053,0.001194,0.034554,0.046086,0.000185,0.013601,5399,0.923016135
65,-0.151354,0.001156,0.034,-0.152526,0.001003,0.03167,1000,0.997870697
66,-0.233232,0.001356,0.036824,-0.237605,0.001003,0.03167,1000,0.999999985
67,0.030567,0.007292,0.085393,0.030576,0.001003,0.03167,1000,0.161790176
68,0.069828,0.00403,0.063482,0.069942,0.00277,0.052631,364,0.264971101
69,0.035939,0.004525,0.067268,0.035954,0.00277,0.052631,364,0.105022515
70,0.02392,0.00345,0.058737,0.023924,0.00277,0.052631,364,0.07399909
71,0.203561,0.007318,0.085545,0.206444,0.00277,0.052631,364,0.975433509
